@
Linux 4.14.0-115.el7a.aarch64 (localhost.localdomain) 	2019年03月12日 	_aarch64_	(64 CPU)

01时06分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01时06分07秒   20   29.29    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   52.53
01时06分07秒   21   44.33    0.00   12.37    0.00    0.00    0.00    0.00    0.00    0.00   43.30
01时06分07秒   22   38.30    0.00    5.32    0.00    0.00    1.06    0.00    0.00    0.00   55.32
01时06分07秒   23   39.60    0.00   13.86    0.00    0.00    0.00    0.00    0.00    0.00   46.53
01时06分07秒   24   51.06    0.00   10.64    0.00    0.00    1.06    0.00    0.00    0.00   37.23
01时06分07秒   25   60.82    0.00    6.19    0.00    0.00    6.19    0.00    0.00    0.00   26.80
01时06分07秒   26   46.32    0.00   12.63    0.00    0.00    5.26    0.00    0.00    0.00   35.79
01时06分07秒   27   56.84    0.00    8.42    0.00    0.00    1.05    0.00    0.00    0.00   33.68
01时06分07秒   28   86.73    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   13.27
01时06分07秒   29   14.85    0.00   13.86    0.00    0.00    1.98    0.00    0.00    0.00   69.31
01时06分07秒   30   34.65    0.00   16.83    0.00    0.00    0.00    0.00    0.00    0.00   48.51
01时06分07秒   31   75.76    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   22.22
01时06分07秒   32   12.12    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   86.87
01时06分07秒   33   37.11    0.00    6.19    0.00    0.00    0.00    0.00    0.00    0.00   56.70
01时06分07秒   34   58.76    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   40.21
01时06分07秒   35   97.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01时06分07秒   36   90.82    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00    6.12
01时06分07秒   37   85.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   15.00
01时06分07秒   38    3.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.88
01时06分07秒   39   70.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   29.59
01时06分07秒   40   69.61    0.00    4.90    0.00    0.00    0.00    0.00    0.00    0.00   25.49
01时06分07秒   41   24.51    0.00   12.75    0.00    0.00    4.90    0.00    0.00    0.00   57.84
01时06分07秒   42   26.53    0.00    6.12    0.00    0.00    3.06    0.00    0.00    0.00   64.29
01时06分07秒   43   20.00    0.00   10.53    0.00    0.00    1.05    0.00    0.00    0.00   68.42
01时06分07秒   44   76.70    0.00    0.97    0.00    0.00    0.00    0.00    0.00    0.00   22.33
01时06分07秒   45   42.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   57.58
01时06分07秒   46   27.66    0.00    1.06    0.00    0.00    0.00    0.00    0.00    0.00   71.28
01时06分07秒   47   41.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   58.33
01时06分07秒   48    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   49    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   53    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   54    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分07秒   57    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
